approach,cpu,batchsize,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,219,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-140.5359649658203,39.71
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,177,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.86832733154296,17.45
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,59,485,2,1,16,0.058823529411764705,0.3333333333333333,0.9642857142857143,0.1,-132.63536682128907,43.92
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,205,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.8775634765625,16.89
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,178,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.83360290527344,17.08
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,14,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-128.16089324951173,2.63
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,102,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.62671966552733,27.56
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,79,486,3,0,15,0.0,0.0,0.9642857142857143,0.0,-134.00980529785156,33.22
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,149,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.6320785522461,21.76
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,229,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.7104965209961,40.93
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,243,488,3,0,13,0.0,0.0,0.9682539682539683,0.0,-132.5334930419922,36.35
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,144,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.1993621826172,21.76
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,240,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,-134.47036743164062,36.90
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,148,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-138.71707305908203,21.73
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,169,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-143.0192413330078,17.52
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,113,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.0223388671875,24.98
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,29,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-128.49100494384766,2.68
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,109,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.43115997314453,26.68
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,190,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.5823974609375,17.31
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,155,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.3284912109375,17.45
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,25,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-127.98542785644531,2.64
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,143,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.1677490234375,21.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,82,485,2,1,16,0.058823529411764705,0.3333333333333333,0.9642857142857143,0.1,-131.96665954589844,31.99
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,142,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.45195617675782,21.35
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,181,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.88612518310546,16.30
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,212,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.3612060546875,40.14
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,216,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-140.90663146972656,41.52
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,238,484,3,0,17,0.0,0.0,0.9603174603174603,0.0,-135.5572494506836,36.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,137,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.7225830078125,22.05
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,115,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-136.75372314453125,25.98
