approach,cpu,hidden_units,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,5,488,2,1,13,0.07142857142857142,0.3333333333333333,0.9702380952380952,0.11764705882352941,3.74841443914738,177.06
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,66,477,2,1,24,0.04,0.3333333333333333,0.9484126984126984,0.07142857142857142,-30.104025945162572,871.09
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,276,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-141.61129823248172,4030.62
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,577,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-316.2603158355198,10043.67
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,59,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-23.7267636703388,771.61
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,53,480,1,2,21,0.08695652173913043,0.6666666666666666,0.9563492063492064,0.15384615384615383,-28.704183720392955,719.57
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,191,465,0,3,36,0.07692307692307693,1.0,0.9285714285714286,0.14285714285714288,-93.19390396818599,2245.69
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,245,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-121.38579449565808,2884.61
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,604,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-324.9391769860767,10173.06
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,289,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-148.36602796360958,4170.41
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,461,475,1,2,26,0.07142857142857142,0.6666666666666666,0.9464285714285714,0.12903225806451613,-238.60777164252423,7365.87
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,529,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-286.8294013244488,8218.97
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,625,474,0,3,27,0.1,1.0,0.9464285714285714,0.18181818181818182,-353.3188530613518,10499.25
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,491,475,1,2,26,0.07142857142857142,0.6666666666666666,0.9464285714285714,0.12903225806451613,-261.02737924717746,7735.19
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,573,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-302.77520986986383,9634.11
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,566,478,2,1,23,0.041666666666666664,0.3333333333333333,0.9503968253968254,0.07407407407407407,-296.08534004592786,9736.76
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,502,480,1,2,21,0.08695652173913043,0.6666666666666666,0.9563492063492064,0.15384615384615383,-266.1269520079101,7869.29
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,323,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-169.16071873165808,4686.31
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,586,475,2,1,26,0.037037037037037035,0.3333333333333333,0.9444444444444444,0.06666666666666667,-308.6334562654089,9910.52
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,514,479,0,3,22,0.12,1.0,0.9563492063492064,0.21428571428571425,-269.61928130755797,7972.82
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,600,479,1,2,22,0.08333333333333333,0.6666666666666666,0.9543650793650794,0.14814814814814814,-326.9893789435774,10201.97
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,493,477,2,1,24,0.04,0.3333333333333333,0.9484126984126984,0.07142857142857142,-264.9992795027666,7779.77
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,339,475,0,3,26,0.10344827586206896,1.0,0.9484126984126984,0.1875,-175.6499674086451,4858.06
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,316,475,1,2,26,0.07142857142857142,0.6666666666666666,0.9464285714285714,0.12903225806451613,-162.82473845039613,4553.10
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,560,466,2,1,35,0.027777777777777776,0.3333333333333333,0.9265873015873016,0.05128205128205128,-287.7363180735193,9543.39
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,450,472,1,2,29,0.06451612903225806,0.6666666666666666,0.9404761904761905,0.1176470588235294,-243.11041554502486,7313.81
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,401,465,1,2,36,0.05263157894736842,0.6666666666666666,0.9265873015873016,0.09756097560975609,-205.00762666745575,5126.58
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,138,468,0,3,33,0.08333333333333333,1.0,0.9345238095238095,0.15384615384615385,-58.23033312924851,1662.88
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,440,473,0,3,28,0.0967741935483871,1.0,0.9444444444444444,0.17647058823529413,-243.2633071700345,6019.36
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,544,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-289.5678662651178,8371.15
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,601,482,1,2,19,0.09523809523809523,0.6666666666666666,0.9603174603174603,0.16666666666666666,-326.797149809119,10096.50
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,473,480,1,2,21,0.08695652173913043,0.6666666666666666,0.9563492063492064,0.15384615384615383,-227.02698731534065,7403.42
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,506,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-276.9261958412735,7870.15
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,196,480,0,3,21,0.125,1.0,0.9583333333333334,0.2222222222222222,-93.51850318111889,2296.86
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,141,470,1,2,31,0.06060606060606061,0.6666666666666666,0.9365079365079365,0.1111111111111111,-62.9881558311819,1684.46
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,7,479,2,1,22,0.043478260869565216,0.3333333333333333,0.9523809523809523,0.07692307692307691,1.7348085675643525,190.60
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,16,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-2.136845362976128,288.92
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,3,479,2,1,22,0.043478260869565216,0.3333333333333333,0.9523809523809523,0.07692307692307691,5.126759582454701,147.34
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,407,472,1,2,29,0.06451612903225806,0.6666666666666666,0.9404761904761905,0.1176470588235294,-208.93113558417792,5161.53
